Sequence_ID	Organism	Isolate	Country	Collection-date	Collected_by	Identified_by	Fwd_primer_name	Rev_primer_name	Note
4603872	Pholiota terrestris	iNaturalist # 151261813	"USA: California, Humboldt County, Eureka"	15-Mar-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	iNaturalist.org #151261813
4603849	Infundibulicybe 'gibba PNW02'	CA FUNDIS iNaturalist # 147975094	"USA: California, Humboldt County, Eureka"	3-Feb-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #147975094; RiC 72
4603820	Lactarius sp. 'deliciosus-CA01'	CA FUNDIS iNaturalist # 153494766	"USA: California, Humboldt County, Manila"	4-Apr-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #153494766; RiC 59
4603887	Gliophorus psittacinus	CA FUNDIS iNaturalist # 153604355	"USA: California, Humboldt County, Eureka"	4-Apr-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #153604355; RiC 59
4603873	Russula sp. 'cremoricolor-CA01'	CA FUNDIS iNaturalist # 148585384	"USA: California, Humboldt County, Whitethorn"	10-Feb-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #148585384; RiC 80
4603850	Entoloma subcapitatum	CA FUNDIS iNaturalist # 150712914	"USA: California, Humboldt County, Eureka"	7-Mar-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #150712914; RiC 60
4603836	Hebeloma sp. 'CA04'	CA FUNDIS iNaturalist # 148673357	"USA: California, Humboldt County, Manila"	11-Feb-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #148673357; RiC 42
4603821	Urnula sp. 'padeniana-CA01'	CA FUNDIS iNaturalist # 150109679	"USA: California, Humboldt County, Eureka"	1-Mar-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #150109679; RiC 124
4603782	Rhizopogon ochraceorubens	CA FUNDIS iNaturalist # 150182304	"USA: California, Humboldt County, Manila"	2-Mar-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #150182304; RiC 62
4603875	Crepidotus	CA FUNDIS iNaturalist # 148585493	"USA: California, Humboldt County, Whitethorn"	10-Feb-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #148585493; RiC 142
4603854	Arrhenia sp. 'epichysium-CA01'	CA FUNDIS iNaturalist # 151889060	"USA: California, Humboldt County, Eureka"	21-Mar-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #151889060; RiC 87
4603803	Plectania sp. 'milleri-PNW03'	CA FUNDIS iNaturalist # 149109335	"USA: California, Humboldt County, Whitethorn"	18-Feb-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #149109335; RiC 47
4603888	Rhodocybe aureicystidiata	CA FUNDIS iNaturalist # 152898201	"USA: California, Humboldt County, Eureka"	30-Mar-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #152898201; RiC 130
4603867	Entoloma subcapitatum	CA FUNDIS iNaturalist # 148999001	"USA: California, Humboldt County, Arcata"	17-Feb-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #148999001; RiC 63
4603813	Panaeolus papilionaceus	CA FUNDIS iNaturalist # 149270519	"USA: California, Humboldt County, Bayside"	20-Feb-23	Mandy Hackney	Mandy Hackney	ITS1F	ITS4	California Fungal Diversity Survey www.fundis.org; iNaturalist.org #149270519; RiC 60
